site_url,author,headline,language,country,type,
foxnews.com,Samuel Chamberlain,"Michael Flynn lawyers cut ties with Trump legal team, reports say",english,United States,legitimate,
foxnews.com,Samuel Chamberlain,Al Franken admits 'I crossed a line' after groping allegations,english,United States,legitimate,
foxnews.com,Barnini Chakraborty,"GOP committees, Moore remain at odds as Alabama election nears",english,United States,legitimate,
foxnews.com,Barnini Chakraborty,"Trump visits Coast Guard station in Florida, touts own accomplishments in Thanksgiving tweets",english,United States,legitimate,
foxnews.com,Lukas Mikelionis,Federal judge blocks Texas' law banning 'barbaric' second-trimester abortion procedure,english,United States,legitimate,
foxnews.com,Fred Fleitz,Trump is right -- America and Russia need to work together to lower tensions,english,United States,legitimate,
foxnews.com,Andrew Napolitano,Judge Napolitano: Should the government guarantee higher taxes for your children in return for lower taxes for you?,english,United States,legitimate,
foxnews.com,Samuel Chamberlain,Al Franken accused of inappropriate touching by two more women,english,United States,legitimate,
foxnews.com,Samuel Chamberlain,"John Conyers 'has no plans to resign' amid sexual harassment scandal, lawyer says",english,United States,legitimate,
foxnews.com,Chris Stirewalt,Presenting your 2017 Turkey Bowl winners,english,United States,legitimate,
foxnews.com,Barnini Chakraborty,Doug Jones hammers Roy Moore over sexual misconduct allegations in new ad,english,United States,legitimate,
foxnews.com,Alex Pappas,Republican Rep. Joe Barton apologizes after lewd photo surfaces,english,United States,legitimate,
foxnews.com,Tammy Bruce,Liberals throw Bill Clinton under the bus to cover for 25 years of taking the wrong stand on sexual abuse,english,United States,legitimate,
foxnews.com,Alex Pappas,"Rand Paul's wife speaks out on attack, says media 'victimized' her husband",english,United States,legitimate,
foxnews.com,Penny Young Nance,"Exposing sexual misconduct is necessary to change horrible behavior, NOT to score political points",english,United States,legitimate,
foxnews.com,Barnini Chakraborty,John Conyers’ hometown newspaper calls for resignation after 'public betrayal',english,United States,legitimate,
foxnews.com,Kathleen Joyce,'Reading Rainbow' host LeVar Burton mistaken for LaVar Ball on Twitter,english,United States,legitimate,
foxnews.com,Tori Richards,"Homeless people defecating on LA streets fuels horror hepatitis outbreak, as city faulted",english,United States,legitimate,
foxnews.com,Travis Fedschun,"Violence against Rohingya Muslims in Burma is 'ethnic cleansing,' US declares",english,United States,legitimate,
foxnews.com,Lukas Mikelionis,"Alabama Senate hopeful Doug Jones defended man with ties to KKK, Holocaust deniers",english,United States,legitimate,
foxnews.com,Chad Pergram,Storm of sexual harassment claims engulfs Capitol Hill,english,United States,legitimate,
foxnews.com,Lukas Mikelionis,'Poor man's Don King': Trump takes aim at hoops dad LaVar Ball as feud escalates,english,United States,legitimate,
foxnews.com,Edmund DeMarche,Alaska's Murkowski says she backs repeal of ObamaCare individual mandate,english,United States,legitimate,
foxnews.com,Erick Erickson,"Erick Erickson: This Thanksgiving, we should all be thankful for Trump. I know I am",english,United States,legitimate,
foxnews.com,Newt Gingrich,Newt Gingrich: Trump's historic impact on the federal court system will help our nation prosper for decades to come,english,United States,legitimate,
foxnews.com,Lukas Mikelionis,American freed from North Korea by President Carter found burned to death,english,United States,legitimate,
foxnews.com,Nicole Darrah,Military members reassigned after having inappropriate contact during Trump’s Asia trip,english,United States,legitimate,
foxnews.com,Brooke Singman,"Ethics panel probes Conyers allegations, as Dem leaders call claims 'disturbing'",english,United States,legitimate,
foxnews.com,Rachel Campos-Duffy,It’s time for the Congressional Hispanic Caucus to realize that being a Latino is not a partisan issue,english,United States,legitimate,
foxnews.com,Samuel Chamberlain,"Trump plays down Roy Moore allegations, blasts 'liberal' rival in Alabama race",english,United States,legitimate,
foxnews.com,Kaitlyn Schallhorn,How the FCC's move on net neutrality could impact consumers,english,United States,legitimate,
foxnews.com,Andrew Snyder,"Trump is NOT crazy, despite the claims of some mental health professionals",english,United States,legitimate,
foxnews.com,Brooke Singman,US slaps new sanctions on North Korea after designating it sponsor of terror,english,United States,legitimate,
foxnews.com,Joseph Weber,Judge grants Manafort Thanksgiving travel – but no boozing,english,United States,legitimate,
foxnews.com,Kaitlyn Schallhorn,Trump pardons turkey: A look at the White House's Thanksgiving tradition,english,United States,legitimate,
foxnews.com,Alex Pappas,DOJ moves to strip citizenship for immigrant child sex abusers,english,United States,legitimate,
foxnews.com,Brooke Singman,Trump pardons Thanksgiving turkeys: 'Drumstick has a bright future',english,United States,legitimate,
foxnews.com,Alex Pappas,FCC chairman moves to dismantle Obama net neutrality rules,english,United States,legitimate,
foxnews.com,Newt Gingrich,Newt Gingrich: House and Senate GOP must stay united to enact tax cuts,english,United States,legitimate,
foxnews.com,Brooke Singman,Conyers admits settlement after report on sexual conduct with ex-staffers – but denies allegations,english,United States,legitimate,
foxnews.com,Gregg Jarrett,Gregg Jarrett: Roy Moore is not fit to serve in the US Senate and voters should reject him,english,United States,legitimate,
foxnews.com,Terace Garnier,Roy Moore allegations leave Alabama pastors divided as election looms,english,United States,legitimate,
